,제목,작성자,업로드_일자,조회수,게시글_내용
0,저스트 뒤짐?,저스트웨잇미닛,16:26,0,  매수구간인가?
2,룸네 180선 얼마 안남았다,태양계,16:26,1, 순식간에 음전 간다잉~
4,레버파이 공포숏,칼럼칼리,16:25,38, 잡아본다
5,비트코인으로 거의 전재산 날린 사람의 집 상황 (추정 모습),BenjaminGraham,16:25,241," 비트코인으로 거의 전재산 날린 사람의 집 상황 (추정 모습)   안타깝지만   코인판에   전재산 날린 사람 10명 이상 있는 거로 알고 있고, 사실상 인생이 망가진 거로 알고 있다.   배우자와 자녀가 있다면, 이런 모습일 것으로 추정된다.     부디 이렇게 되지 말자.   선물을 한다면 비트코인만 하고, 저배수로만 하자   가족 소중한줄 알자 제발.   아래 그림은 경각심을 깨우쳐주기 위한 그림이다. 이 그림보고 제발 투자 습관을 바꾸길 바란다.   "
6,일본 댄서 얼굴,코어블럭,16:24,229, 여잔줄 알았냐? ㅋㅋㅋㅋㅋㅋㅋ 그나저나 이 댄서 면상은 왜이리 길어? 말이 환생 했누?
7,Threshold (T) 사놓고 100원까지 묵혀볼까.,발목매수어깨매도,16:23,137, 쓰레스홀드 점프트레이딩 믿고 가볼까.
8,연3억벌지만,카페라퉷,16:23,226, 열시미 현생살고 코인도해서 건물주가될테야 이번년도 명품백 와이프5개사주고 아버지 차사드렷다
9,비트는 꼬라박고 솔라나는 올라가고,MoEbH,16:22,122, 이건 뭘 뜻하는 걸까?
12,코인판만하면,너구리.,16:22,95, 손절하는듯 ㅋㅋ 떠나야지 퉤
13,벤츠고 뭐고 부모님한테나 잘해드려라,새로운시대,16:22,124,  1년에 부모님 얼굴을 몇번 보노? 2번?  10년이면 20번 보는거네? 20년이면 40번 보는거고?  50번 볼수있을까?
14,빗썸 최저시총 살만한것들,유의종목만팜,16:22,73, 타이탄스왑 18억 총수량 100억개 현재가 21원 (두달이내 뻠핑 여부 25원~ 35원 뻠핑 30%이상)  그레이시 26억 총수량 1.9억 현재가 34원 (두달이내 뻠핑 여부 (40원~50원 뻠핑20%이상) 스탯 29억 총수량 10억 현재가 88원 (유의 및 해제빔 있어서 당분간 힘들듯) 왐토큰 33억 총수량 10억 현재가 20원 두달이내 뻠핑 여부 (20원~30원 뻠핑 50%) 어댑터 34억 총수량 50억 현재가 1.8원 두달이내 뻠핑 여부 (1원~2.8원 뻠핑 200%이상) 보아 38억 총수량 49.5억 현재가 12원 두달이내 뻠핑 여부 (8원~14원 뻠핑 50%이상 ) 일단 최근에 갔다와서 시체밭인거랑 잘 따져보고 사보자 디비전 신도하 따라잡자 미리잡아서
15,회복장은 항상 체인링크부터 오르더라,대굴빡대가리,16:21,134, 요즘 패턴이 체인링크 10프로씩 오르고 장이 좋아지는게 반복.오늘도 체인링크 10프로 오를 분위기네
16,얼마전에 다 맞춘다던 형이다,코반꿀은과학,16:21,203, ㅋㅋ 5개 코인 일등 맞춤 남은거 가즈아
17,원화 개부럽다..,crypto커런시,16:21,192, 어벤골은 비트1%올라야 0.001불오르네
18,스멀스멀 오르는 놈,분봉에오르가즘느끼지말자븅신들아,16:20,123, 아크 에크  650에 조금 담아봤다
19,ㅋㅋ 스붕이 8만 간다,너구리.,16:20,91, 나 말햇다
